Subplot,Filename_2018,Species,final_ID,Sample,girdled
D01E,D01E_acru_can01_07222018,acru,1EA1,1,N
D01E,D01E_acru_can02_07222018,acru,1EA1,2,N
D01E,D01E_acru_can03_07222018,acru,1EA1,3,N
D01E,D01E_acru_can04_07222018,acru,1EA2,1,N
D01E,D01E_acru_can05_07222018,acru,1EA2,2,N
D01E,D01E_acru_can06_07222018,acru,1EA2,3,N
D01E,D01E_acru_can07_07222018,acru,1EA3,1,N
D01E,D01E_acru_can08_07222018,acru,1EA3,2,N
D01E,D01E_acru_can09_07222018,acru,1EA3,3,N
D01E,D01E_pogr_can01_07222018,pogr,1EP1,1,N
D01E,D01E_pogr_can02_07222018,pogr,1EP1,2,N
D01E,D01E_pogr_can03_07222018,pogr,1EP1,3,N
D01E,D01E_pogr_can04_07222018,pogr,1EP2,1,N
D01E,D01E_pogr_can05_07222018,pogr,1EP2,2,N
D01E,D01E_pogr_can06_07222018,pogr,1EP2,3,N
D01E,D01E_pogr_can07_07222018,pogr,1EP3,1,N
D01E,D01E_pogr_can08_07222018,pogr,1EP3,2,N
D01E,D01E_pogr_can09_07222018,pogr,1EP3,3,N
D01E,D01E_quru_can01_07222018,quru,1EQ1,1,N
D01E,D01E_quru_can02_07222018,quru,1EQ1,2,N
D01E,D01E_quru_can03_07222018,quru,1EQ1,3,N
D01E,D01E_quru_can04_07222018,quru,1EQ2,1,N
D01E,D01E_quru_can05_07222018,quru,1EQ2,2,N
D01E,D01E_quru_can06_07222018,quru,1EQ2,3,N
D01E,D01E_quru_can07_07222018,quru,1EQ3,1,N
D01E,D01E_quru_can08_07222018,quru,1EQ3,2,N
D01E,D01E_quru_can09_07222018,quru,1EQ3,3,N
D01W,D01W_acru_can01_07232018,acru,1WA1,1,N
D01W,D01W_acru_can02_07232018,acru,1WA1,2,N
D01W,D01W_acru_can03_07232018,acru,1WA1,3,N
D01W,D01W_acru_can04_07232018,acru,1WA2,1,N
D01W,D01W_acru_can05_07232018,acru,1WA2,2,N
D01W,D01W_acru_can06_07232018,acru,1WA2,3,N
D01W,D01W_acru_can07_07232018,acru,1WA3,1,N
D01W,D01W_acru_can08_07232018,acru,1WA3,2,N
D01W,D01W_acru_can09_07232018,acru,1WA3,3,N
D01W,D01W_pogr_can01_07232018,pogr,1WP1,1,N
D01W,D01W_pogr_can02_07232018,pogr,1WP1,2,N
D01W,D01W_pogr_can03_07232018,pogr,1WP1,3,N
D01W,D01W_pogr_can04_07232018,pogr,1WP2,1,N
D01W,D01W_pogr_can05_07232018,pogr,1WP2,2,N
D01W,D01W_pogr_can06_07232018,pogr,1WP2,3,N
D01W,D01W_pogr_can07_07232018,pogr,1WP3,1,N
D01W,D01W_pogr_can08_07232018,pogr,1WP3,2,N
D01W,D01W_pogr_can09_07232018,pogr,1WP3,3,N
D01W,D01W_quru_can01_07232018,quru,1WQ1,1,N
D01W,D01W_quru_can02_07232018,quru,1WQ1,2,N
D01W,D01W_quru_can03_07232018,quru,1WQ1,3,N
D01W,D01W_quru_can04_07232018,quru,1WQ2,1,N
D01W,D01W_quru_can05_07232018,quru,1WQ2,2,N
D01W,D01W_quru_can06_07232018,quru,1WQ2,3,N
D01W,D01W_quru_can07_07232018,quru,1WQ3,1,N
D01W,D01W_quru_can08_07232018,quru,1WQ3,2,N
D01W,D01W_quru_can09_07232018,quru,1WQ3,3,N
D02E,D02E_acru_can01_07182018,acru,2EA1,1,N
D02E,D02E_acru_can02_07182018,acru,2EA1,2,N
D02E,D02E_acru_can03_07182018,acru,2EA1,3,N
D02E,D02E_acru_can04_07182018,acru,2EA1,4,N
D02E,D02E_acru_can05_07182018,acru,2EA1,5,N
D02E,D02E_acru_can06_07192018,acru,2EA2,1,N
D02E,D02E_acru_can07_07192018,acru,2EA2,2,N
D02E,D02E_acru_can08_07192018,acru,2EA2,3,N
D02E,D02E_acru_can09_07192018,acru,2EA3,1,N
D02E,D02E_acru_can10_07192018,acru,2EA3,2,N
D02E,D02E_acru_can11_07192018,acru,2EA3,3,N
D02E,D02E_pogr_can01_07182018,pogr,2EP1,1,N
D02E,D02E_pogr_can02_07182018,pogr,2EP1,2,N
D02E,D02E_pogr_can03_07182018,pogr,2EP1,3,N
D02E,D02E_pogr_can04_07182018,pogr,2EP1,4,N
D02E,D02E_pogr_can05_07182018,pogr,2EP1,5,N
D02E,D02E_pogr_can06_07192018,pogr,2EP2,1,N
D02E,D02E_pogr_can07_07192018,pogr,2EP2,2,N
D02E,D02E_pogr_can08_07192018,pogr,2EP2,3,N
D02E,D02E_pogr_can09_07192018,pogr,2EP3,1,N
D02E,D02E_pogr_can10_07192018,pogr,2EP3,2,N
D02E,D02E_pogr_can11_07192018,pogr,2EP3,3,N
D02E,D02E_quru_can01_07182018,quru,2EQ1,1,N
D02E,D02E_quru_can02_07182018,quru,2EQ1,2,N
D02E,D02E_quru_can03_07182018,quru,2EQ1,3,N
D02E,D02E_quru_can04_07182018,quru,2EQ1,4,N
D02E,D02E_quru_can05_07182018,quru,2EQ1,5,N
D02E,D02E_quru_can06_07182018,quru,2EQ2,1,N
D02E,D02E_quru_can07_07182018,quru,2EQ2,2,N
D02E,D02E_quru_can08_07182018,quru,2EQ2,3,N
D02E,D02E_quru_can09_07182018,quru,2EQ2,4,N
D02E,D02E_quru_can10_07182018,quru,2EQ2,5,N
D02E,D02E_quru_can11_07192018,quru,2EQ3,1,N
D02E,D02E_quru_can12_07192018,quru,2EQ3,2,N
D02E,D02E_quru_can13_07192018,quru,2EQ3,3,N
D02W,D02W_acru_can01_07182018,acru,2WA1,1,N
D02W,D02W_acru_can02_07182018,acru,2WA1,2,N
D02W,D02W_acru_can03_07182018,acru,2WA1,3,N
D02W,D02W_acru_can04_07182018,acru,2WA1,4,N
D02W,D02W_acru_can05_07182018,acru,2WA1,5,N
D02W,D02W_acru_can06_07182018,acru,2WA2,1,N
D02W,D02W_acru_can07_07182018,acru,2WA2,2,N
D02W,D02W_acru_can08_07182018,acru,2WA2,3,N
D02W,D02W_acru_can09_07182018,acru,2WA2,4,N
D02W,D02W_acru_can10_07182018,acru,2WA2,5,N
D02W,D02W_acru_can11_07182018,acru,2WA3,1,N
D02W,D02W_acru_can12_07182018,acru,2WA3,2,N
D02W,D02W_acru_can13_07182018,acru,2WA3,3,N
D02W,D02W_acru_can14_07182018,acru,2WA3,4,N
D02W,D02W_acru_can15_07182018,acru,2WA3,5,N
D02W,D02W_pogr_can01_07172018,pogr,2WP1,1,N
D02W,D02W_pogr_can02_07172018,pogr,2WP1,2,N
D02W,D02W_pogr_can03_07172018,pogr,2WP1,3,N
D02W,D02W_pogr_can04_07172018,pogr,2WP1,4,N
D02W,D02W_pogr_can05_07172018,pogr,2WP1,5,N
D02W,D02W_pogr_can06_07182018,pogr,2WP2,1,N
D02W,D02W_pogr_can07_07182018,pogr,2WP2,2,N
D02W,D02W_pogr_can08_07182018,pogr,2WP2,3,N
D02W,D02W_pogr_can09_07182018,pogr,2WP2,4,N
D02W,D02W_pogr_can10_07182018,pogr,2WP2,5,N
D02W,D02W_pogr_can11_07182018,pogr,2WP3,1,Y
D02W,D02W_pogr_can12_07182018,pogr,2WP3,2,Y
D02W,D02W_pogr_can13_07182018,pogr,2WP3,3,Y
D02W,D02W_pogr_can14_07182018,pogr,2WP3,4,Y
D02W,D02W_pogr_can15_07182018,pogr,2WP3,5,Y
D02W,D02W_quru_can01_07172018,quru,2WQ1,1,N
D02W,D02W_quru_can02_07172018,quru,2WQ1,2,N
D02W,D02W_quru_can03_07172018,quru,2WQ1,3,N
D02W,D02W_quru_can04_07172018,quru,2WQ1,4,N
D02W,D02W_quru_can05_07172018,quru,2WQ1,5,N
D02W,D02W_quru_can06_07172018,quru,2WQ2,1,N
D02W,D02W_quru_can07_07172018,quru,2WQ2,2,N
D02W,D02W_quru_can08_07172018,quru,2WQ2,3,N
D02W,D02W_quru_can09_07172018,quru,2WQ2,4,N
D02W,D02W_quru_can10_07172018,quru,2WQ2,5,N
D02W,D02W_quru_can11_07182018,quru,2WQ3,1,N
D02W,D02W_quru_can12_07182018,quru,2WQ3,2,N
D02W,D02W_quru_can13_07182018,quru,2WQ3,3,N
D02W,D02W_quru_can14_07182018,quru,2WQ3,4,N
D02W,D02W_quru_can15_07182018,quru,2WQ3,5,N
D03E,D03E_acru_can01_07202018,acru,3EA1,1,N
D03E,D03E_acru_can02_07202018,acru,3EA1,2,N
D03E,D03E_acru_can03_07202018,acru,3EA1,3,N
D03E,D03E_acru_can04_07202018,acru,3EA2,1,N
D03E,D03E_acru_can05_07202018,acru,3EA2,2,N
D03E,D03E_acru_can06_07202018,acru,3EA2,3,N
D03E,D03E_acru_can07_07202018,acru,3EA3,1,N
D03E,D03E_acru_can08_07202018,acru,3EA3,2,N
D03E,D03E_acru_can09_07202018,acru,3EA3,3,N
D03E,D03E_pogr_can01_07202018,pogr,3EP1,1,N
D03E,D03E_pogr_can02_07202018,pogr,3EP1,2,N
D03E,D03E_pogr_can03_07202018,pogr,3EP1,3,N
D03E,D03E_pogr_can04_07202018,pogr,3EP2,1,N
D03E,D03E_pogr_can05_07202018,pogr,3EP2,2,N
D03E,D03E_pogr_can06_07202018,pogr,3EP2,3,N
D03E,D03E_pogr_can07_07202018,pogr,3EP3,1,N
D03E,D03E_pogr_can08_07202018,pogr,3EP3,2,N
D03E,D03E_pogr_can09_07202018,pogr,3EP3,3,N
D03E,D03E_quru_can01_07202018,quru,3EQ1,1,N
D03E,D03E_quru_can02_07202018,quru,3EQ1,2,N
D03E,D03E_quru_can03_07202018,quru,3EQ1,3,N
D03E,D03E_quru_can04_07202018,quru,3EQ2,1,N
D03E,D03E_quru_can05_07202018,quru,3EQ2,2,N
D03E,D03E_quru_can06_07202018,quru,3EQ2,3,N
D03E,D03E_quru_can07_07202018,quru,3EQ3,1,N
D03E,D03E_quru_can09_07202018,quru,3EQ3,2,N
D03E,D03E_quru_can10_07202018,quru,3EQ3,3,N
D03W,D03W_acru_can01_07222018,acru,3WA1,1,N
D03W,D03W_acru_can02_07222018,acru,3WA1,2,N
D03W,D03W_acru_can03_07222018,acru,3WA1,3,N
D03W,D03W_acru_can04_07222018,acru,3WA2,1,N
D03W,D03W_acru_can05_07222018,acru,3WA2,2,N
D03W,D03W_acru_can06_07222018,acru,3WA2,3,N
D03W,D03W_acru_can07_07222018,acru,3WA3,1,N
D03W,D03W_acru_can08_07222018,acru,3WA3,2,N
D03W,D03W_acru_can09_07222018,acru,3WA3,3,N
D03W,D03W_pogr_can01_07222018,pogr,3WP1,1,N
D03W,D03W_pogr_can02_07222018,pogr,3WP1,2,N
D03W,D03W_pogr_can03_07222018,pogr,3WP1,3,N
D03W,D03W_pogr_can04_07222018,pogr,3WP2,1,N
D03W,D03W_pogr_can06_07222018,pogr,3WP2,3,N
D03W,D03W_pogr_can07_07222018,pogr,3WP3,1,N
D03W,D03W_pogr_can08_07222018,pogr,3WP3,2,N
D03W,D03W_pogr_can09_07222018,pogr,3WP3,3,N
D03W,D03W_pogr_can10_07222018,pogr,3WP2,2,N
D03W,D03W_quru_can01_07222018,quru,3WQ1,1,N
D03W,D03W_quru_can02_07222018,quru,3WQ1,2,N
D03W,D03W_quru_can03_07222018,quru,3WQ1,3,N
D03W,D03W_quru_can04_07222018,quru,3WQ2,1,N
D03W,D03W_quru_can05_07222018,quru,3WQ2,2,N
D03W,D03W_quru_can06_07222018,quru,3WQ2,3,N
D03W,D03W_quru_can07_07222018,quru,3WQ3,1,N
D03W,D03W_quru_can08_07222018,quru,3WQ3,2,N
D03W,D03W_quru_can09_07222018,quru,3WQ3,3,N
D04E,D04E_acru_can01_07192018,acru,4EA1,1,N
D04E,D04E_acru_can02_07192018,acru,4EA1,2,N
D04E,D04E_acru_can03_07192018,acru,4EA1,3,N
D04E,D04E_acru_can04_07192018,acru,4EA2,1,N
D04E,D04E_acru_can05_07192018,acru,4EA2,2,N
D04E,D04E_acru_can06_07192018,acru,4EA2,3,N
D04E,D04E_acru_can07_07192018,acru,4EA3,1,N
D04E,D04E_acru_can08_07192018,acru,4EA3,2,N
D04E,D04E_acru_can09_07192018,acru,4EA3,3,N
D04E,D04E_pogr_can01_07192018,pogr,4EP1,1,N
D04E,D04E_pogr_can02_07192018,pogr,4EP1,2,N
D04E,D04E_pogr_can03_07192018,pogr,4EP1,3,N
D04E,D04E_pogr_can04_07192018,pogr,4EP2,1,N
D04E,D04E_pogr_can05_07192018,pogr,4EP2,2,N
D04E,D04E_pogr_can06_07192018,pogr,4EP2,3,N
D04E,D04E_pogr_can07_07192018,pogr,4EP3,1,N
D04E,D04E_pogr_can08_07192018,pogr,4EP3,2,N
D04E,D04E_pogr_can09_07192018,pogr,4EP3,3,N
D04E,D04E_quru_can01_07192018,quru,4EQ1,1,N
D04E,D04E_quru_can02_07192018,quru,4EQ1,2,N
D04E,D04E_quru_can03_07192018,quru,4EQ1,3,N
D04E,D04E_quru_can04_07192018,quru,4EQ2,1,N
D04E,D04E_quru_can05_07192018,quru,4EQ2,2,N
D04E,D04E_quru_can06_07192018,quru,4EQ2,3,N
D04E,D04E_quru_can07_07192018,quru,4EQ3,1,Y
D04E,D04E_quru_can08_07192018,quru,4EQ3,2,Y
D04E,D04E_quru_can09_07192018,quru,4EQ3,3,Y
D04W,D04W_acru_can01_07202018,acru,4WA1,1,N
D04W,D04W_acru_can02_07202018,acru,4WA1,2,N
D04W,D04W_acru_can03_07202018,acru,4WA1,3,N
D04W,D04W_acru_can04_07202018,acru,4WA2,1,N
D04W,D04W_acru_can05_07202018,acru,4WA2,2,N
D04W,D04W_acru_can06_07202018,acru,4WA2,3,N
D04W,D04W_acru_can07_07202018,acru,4WA3,1,N
D04W,D04W_acru_can08_07202018,acru,4WA3,2,N
D04W,D04W_acru_can09_07202018,acru,4WA3,3,N
D04W,D04W_pogr_can01_07192018,pogr,4WP1,1,N
D04W,D04W_pogr_can02_07192018,pogr,4WP1,2,N
D04W,D04W_pogr_can03_07192018,pogr,4WP1,3,N
D04W,D04W_pogr_can04_07192018,pogr,4WP2,1,N
D04W,D04W_pogr_can05_07192018,pogr,4WP2,2,N
D04W,D04W_pogr_can06_07192018,pogr,4WP2,3,N
D04W,D04W_pogr_can07_07202018,pogr,4WP3,1,N
D04W,D04W_pogr_can08_07202018,pogr,4WP3,2,N
D04W,D04W_pogr_can09_07202018,pogr,4WP3,3,N
D04W,D04W_quru_can01_07202018,quru,4WQ1,1,N
D04W,D04W_quru_can02_07202018,quru,4WQ1,2,N
D04W,D04W_quru_can03_07202018,quru,4WQ1,3,N
D04W,D04W_quru_can04_07202018,quru,4WQ2,1,N
D04W,D04W_quru_can05_07202018,quru,4WQ2,2,N
D04W,D04W_quru_can06_07202018,quru,4WQ2,3,N
D04W,D04W_quru_can07_07202018,quru,4WQ3,1,N
D04W,D04W_quru_can08_07202018,quru,4WQ3,2,N
D04W,D04W_quru_can09_07202018,quru,4WQ3,3,N
