Neighborhood_ID,fate,Species,BA_Species,n
1EA1,live,ACRU,49.01670478,1
1EA1,live,FAGR,260.2809801,2
1EA1,live,PIST,710.6597525,5
1EA1,live,POGR,5176.583428,7
1EA1,live,POTR,76.97688248,1
1EA1,live,QURU,105.6831885,1
1EA2,live,ACRU,7.547677183,1
1EA2,live,ACSA,1479.32902,2
1EA2,live,PIST,465.9846357,3
1EA2,live,POGR,4387.910067,5
1EA2,live,QURU,295.8438128,3
1EA3,live,ACRU,514.7185971,1
1EA3,live,PIST,533.7252348,4
1EA3,live,QURU,4174.415261,4
1EP1,live,ACRU,56.56438197,2
1EP1,live,ACSA,1116.278679,1
1EP1,live,FAGR,260.2809801,2
1EP1,live,PIST,526.8058762,4
1EP1,live,POGR,4453.223785,5
1EP1,live,QURU,226.4460234,2
1EP2,live,ACRU,423.0233514,2
1EP2,live,FAGR,260.2809801,2
1EP2,live,PIST,631.7507904,3
1EP2,live,POGR,5816.714417,7
1EP2,live,POTR,76.97688248,1
1EP2,live,QURU,120.4565296,2
1EP3,live,ACSA,1479.32902,2
1EP3,live,PIST,498.5865171,2
1EP3,live,POGR,191.0716863,2
1EP3,live,QURU,978.9596487,10
1EQ1,live,ACRU,49.01670478,1
1EQ1,live,ACSA,1479.32902,2
1EQ1,live,PIST,262.4015553,2
1EQ1,live,POGR,1873.536109,4
1EQ1,live,QURU,293.9038791,3
1EQ2,live,ACRU,56.56438197,2
1EQ2,live,ACSA,1479.32902,2
1EQ2,live,PIST,262.4015553,2
1EQ2,live,POGR,3704.024541,5
1EQ2,live,QURU,190.1606243,2
1EQ3,live,FAGR,83.32290034,1
1EQ3,live,PIST,383.5963593,1
1EQ3,live,POGR,776.421148,3
1EQ3,live,POTR,359.6809826,1
1EQ3,live,QURU,675.0969198,7
1WA1,live,PIST,119.1449145,2
1WA1,live,QURU,2689.085798,2
1WA2,live,ACRU,229.2498952,2
1WA2,live,POGR,211.2407133,1
1WA2,live,QURU,2391.23922,3
1WA3,live,ACRU,1202.766734,8
1WA3,live,BEPA,1218.545385,3
1WA3,live,FAGR,534.3378454,4
1WA3,live,POGR,4217.219465,5
1WA3,live,QURU,1256.6372,1
1WP1,live,ACRU,358.8327525,3
1WP1,live,BEPA,1218.545385,3
1WP1,live,FAGR,352.75377,2
1WP1,live,PIST,289.5292109,1
1WP1,live,POGR,4918.148134,4
1WP1,live,QURU,2448.188447,4
1WP2,live,ACRU,290.5973525,2
1WP2,live,BEPA,96.76891838,1
1WP2,live,FAGR,177.287947,2
1WP2,live,PIST,358.9270003,2
1WP2,live,POGR,6021.986104,6
1WP2,live,QURU,1010.092835,2
1WP3,live,ACRU,1315.864082,9
1WP3,live,BEPA,1218.545385,3
1WP3,live,FAGR,534.3378454,4
1WP3,live,POGR,2765.018101,4
1WP3,live,QURU,1256.6372,1
1WQ1,live,ACRU,162.8601811,1
1WQ1,live,PIST,503.3617384,2
1WQ1,live,QURU,2920.731158,4
1WQ2,live,ACRU,667.6277824,4
1WQ2,live,PIST,1762.355133,6
1WQ2,live,QURU,5008.029109,5
1WQ3,live,ACRU,703.4262346,5
1WQ3,live,PIST,128.6796493,1
1WQ3,live,POGR,211.2407133,1
1WQ3,live,QURU,2911.337795,4
2EA1,kill,ACRU,348.8503407,2
2EA1,kill,POGR,1948.769408,2
2EA1,kill,QURU,2742.822747,3
2EA1,live,ACRU,980.7267948,8
2EA1,live,PIST,101.7954672,2
2EA1,live,POGR,1275.557444,1
2EA1,live,QURU,1309.211759,4
2EA2,kill,ACRU,134.7821937,1
2EA2,kill,FAGR,147.4113975,1
2EA2,kill,POGR,5837.551033,7
2EA2,kill,QURU,4409.932634,6
2EA2,live,ACRU,788.6183828,10
2EA2,live,POGR,1006.597813,1
2EA3,kill,ACRU,183.8538763,1
2EA3,kill,POGR,5837.551033,7
2EA3,kill,QURU,4330.811614,8
2EA3,live,ACRU,649.5636227,8
2EA3,live,POGR,1006.597813,1
2EP1,kill,ACRU,316.9867337,2
2EP1,kill,POGR,2540.457033,3
2EP1,kill,QURU,6766.488667,8
2EP1,live,PIST,101.7954672,2
2EP1,live,QURU,1287.157776,3
2EP2,kill,ACRU,318.63607,2
2EP2,kill,FAGR,147.4113975,1
2EP2,kill,POGR,4997.732538,6
2EP2,kill,QURU,3854.821005,7
2EP2,live,ACRU,986.2952684,12
2EP3,kill,ACRU,271.7163786,1
2EP3,kill,POGR,1321.299038,2
2EP3,kill,QURU,3999.247889,6
2EP3,live,ACRU,469.5189278,5
2EP3,live,POGR,172.0336327,1
2EQ1,kill,ACRU,348.8503407,2
2EQ1,kill,POGR,1948.769408,2
2EQ1,kill,QURU,3123.929393,4
2EQ1,live,ACRU,1105.989962,10
2EQ1,live,PIST,101.7954672,2
2EQ1,live,POGR,1275.557444,1
2EQ1,live,QURU,1137.178126,3
2EQ2,kill,ACRU,203.5830804,1
2EQ2,kill,POGR,602.6282232,1
2EQ2,kill,QURU,2742.822747,3
2EQ2,live,ACRU,925.7489173,8
2EQ2,live,PIST,101.7954672,2
2EQ2,live,POGR,1194.590738,1
2EQ2,live,QURU,921.9397358,2
2EQ3,kill,ACRU,316.9867337,2
2EQ3,kill,POGR,2540.457033,3
2EQ3,kill,QURU,6766.488667,8
2EQ3,live,PIST,101.7954672,2
2EQ3,live,POGR,1194.590738,1
2EQ3,live,QURU,363.0503411,1
2WA1,kill,ACRU,138.9290964,1
2WA1,kill,QURU,7438.962357,11
2WA1,live,ACRU,402.2024438,5
2WA1,live,QURU,1258.207997,2
2WA2,kill,ACRU,226.9800943,1
2WA2,kill,POGR,3021.568439,3
2WA2,kill,QURU,6831.339001,11
2WA2,live,ACRU,306.2503396,5
2WA2,live,FAGR,161.2422607,2
2WA2,live,POGR,479.1636183,1
2WA2,live,QURU,522.7924911,1
2WA3,kill,ACRU,425.5366258,2
2WA3,kill,POGR,4367.709624,4
2WA3,kill,QURU,1756.825929,3
2WA3,live,ACRU,444.0720245,4
2WA3,live,FAGR,301.9934811,4
2WA3,live,PIRE,940.247369,1
2WA3,live,POGR,1612.09274,2
2WP1,kill,ACRU,430.5631746,2
2WP1,kill,POGR,4088.924661,4
2WP1,kill,QURU,2349.958688,3
2WP1,live,ACRU,878.2637391,8
2WP1,live,FAGR,212.1360673,2
2WP1,live,QURU,1245.594501,3
2WP2,kill,ACRU,138.9290964,1
2WP2,kill,FAGR,265.9044315,1
2WP2,kill,POGR,2086.104146,3
2WP2,kill,QURU,4773.037953,6
2WP2,live,ACRU,679.3694863,7
2WP2,live,FAGR,414.8080857,5
2WP2,live,POGR,598.2849709,1
2WP2,live,QURU,735.4155054,1
2WQ1,kill,QURU,6325.204806,11
2WQ1,live,ACRU,576.2152801,7
2WQ1,live,FAGR,93.31316608,1
2WQ1,live,POGR,479.1636183,1
2WQ2,kill,ACRU,348.8503407,2
2WQ2,kill,POGR,1948.769408,2
2WQ2,kill,QURU,2855.441002,4
2WQ2,live,ACRU,880.7927214,8
2WQ2,live,PIST,51.52997918,1
2WQ2,live,POGR,1275.557444,1
2WQ2,live,QURU,559.3056558,3
2WQ3,kill,ACRU,138.9290964,1
2WQ3,kill,POGR,1505.553467,2
2WQ3,kill,QURU,7198.363457,11
2WQ3,live,ACRU,350.6724646,4
2WQ3,live,POGR,692.7919423,1
3EA1,kill,POGR,1987.630913,2
3EA1,live,ACRU,553.0224698,4
3EA1,live,PIST,257.6891658,2
3EA1,live,POGR,2627.730487,7
3EA1,live,QURU,1237.858328,1
3EA2,kill,POGR,3916.003528,4
3EA2,live,PIRE,471.4352996,1
3EA2,live,PIST,332.6475748,3
3EA2,live,POGR,2722.001839,6
3EA2,live,QURU,816.7906181,2
3EA3,kill,QURU,1787.008784,1
3EA3,live,ACRU,257.3043207,1
3EA3,live,FAGR,301.7185917,1
3EA3,live,PIRE,746.7173862,4
3EA3,live,PIST,156.1450261,1
3EA3,live,QURU,2893.73702,4
3EP1,kill,POGR,924.0131871,1
3EP1,live,ACRU,839.5436054,5
3EP1,live,PIST,54.10608544,1
3EP1,live,POGR,2509.535904,7
3EP1,live,QURU,246.4736788,3
3EP2,kill,POGR,2852.385802,3
3EP2,live,ACRU,593.9574266,1
3EP2,live,FAGR,216.4243418,1
3EP2,live,PIRE,764.5380725,1
3EP2,live,PIST,84.94867472,1
3EP2,live,POGR,1579.742186,5
3EP2,live,QURU,816.7906181,2
3EP3,kill,POGR,924.0131871,1
3EP3,live,ACRU,658.0851937,4
3EP3,live,POGR,2175.80448,6
3EP3,live,QURU,246.4736788,3
3EQ1,kill,POGR,1365.721163,1
3EQ1,live,ACRU,839.5436054,5
3EQ1,live,PIST,313.1068663,3
3EQ1,live,POGR,51.52997918,1
3EQ2,kill,PIRE,1269.234988,1
3EQ2,live,ACRU,600.3741303,2
3EQ2,live,FAGR,301.7185917,1
3EQ2,live,PIRE,523.2323142,4
3EQ2,live,POGR,430.0526658,1
3EQ2,live,QURU,2502.270971,6
3EQ3,kill,QURU,1787.008784,1
3EQ3,live,ACRU,751.7753509,4
3EQ3,live,FAGR,301.7185917,1
3EQ3,live,PIRE,548.1608546,3
3EQ3,live,PIST,216.9662666,2
3EQ3,live,POGR,67.92909464,1
3EQ3,live,QURU,62.21139538,1
3WA1,kill,QURU,3902.423993,3
3WA1,live,ACRU,663.0803265,4
3WA1,live,PIST,66.47610788,1
3WA1,live,POGR,67.92909464,1
3WA1,live,QURU,1765.316085,4
3WA2,kill,QURU,967.618498,1
3WA2,live,ACRU,450.9049893,4
3WA2,live,FAGR,141.0261098,1
3WA2,live,PIST,486.3971362,4
3WA2,live,QURU,1633.125705,1
3WA3,kill,PIST,940.247369,1
3WA3,kill,QURU,967.618498,1
3WA3,live,ACRU,326.1130614,2
3WA3,live,FAGR,141.0261098,1
3WA3,live,PIST,934.9694927,3
3WA3,live,POGR,1968.231576,5
3WP1,live,PIST,339.7946989,1
3WP1,live,POGR,2211.241649,8
3WP1,live,QURU,213.8246736,1
3WP2,kill,PIST,940.247369,1
3WP2,live,ACRU,359.2961374,3
3WP2,live,PIST,862.58719,2
3WP2,live,POGR,2729.133255,7
3WP3,live,ACRU,582.6555457,3
3WP3,live,POGR,838.2555522,4
3WP3,live,QURU,736.6721426,7
3WQ1,kill,QURU,3083.23791,2
3WQ1,live,ACRU,453.1198124,3
3WQ1,live,PIST,142.5340744,2
3WQ1,live,QURU,825.7441581,2
3WQ2,kill,QURU,1583.370726,1
3WQ2,live,PIST,81.71283393,1
3WQ2,live,QURU,825.7441581,2
3WQ3,kill,QURU,967.618498,1
3WQ3,live,ACRU,401.22855,4
3WQ3,live,FAGR,141.0261098,1
3WQ3,live,PIST,136.423676,2
4EA1,kill,POGR,1468.836099,2
4EA1,kill,QURU,1398.66862,1
4EA1,live,ACRU,41.85387274,1
4EA1,live,PIST,89.92024564,1
4EA1,live,POGR,2085.287332,4
4EA1,live,QURU,966.1340953,4
4EA2,kill,ACRU,467.5947021,1
4EA2,kill,PIST,471.4352996,1
4EA2,kill,POGR,839.8184947,1
4EA2,live,ACRU,577.3226916,4
4EA2,live,PIST,624.6272282,3
4EA2,live,POGR,2505.514665,5
4EA2,live,QURU,829.2863042,3
4EA3,kill,POGR,486.954769,1
4EA3,kill,QURU,1398.66862,1
4EA3,live,PIST,1124.360427,10
4EA3,live,POGR,2717.124516,9
4EA3,live,QURU,323.6547648,1
4EP1,kill,POGR,1468.836099,2
4EP1,kill,QURU,1398.66862,1
4EP1,live,ACRU,106.8927018,2
4EP1,live,PIST,546.0874032,2
4EP1,live,POGR,1491.329905,3
4EP1,live,QURU,966.1340953,4
4EP2 ,kill,QURU,6862.95128,8
4EP2 ,live,ACRU,1139.408657,4
4EP2 ,live,PIST,188.8882791,2
4EP2 ,live,POGR,876.1588718,1
4EP2 ,live,QURU,995.3273482,3
4EP3,kill,POGR,1359.178796,1
4EP3,kill,QURU,3775.487928,5
4EP3,live,ACRU,1376.983774,7
4EP3,live,PIST,264.3179271,3
4EP3,live,POGR,459.9606311,1
4EP3,live,QURU,1392.456119,5
4EQ1,kill,POGR,2211.720742,2
4EQ1,kill,QURU,4506.819362,5
4EQ1,live,ACRU,1089.143169,3
4EQ1,live,PIST,430.0055419,5
4EQ1,live,POGR,1336.119503,2
4EQ1,live,QURU,615.1945952,2
4EQ2,kill,PIST,471.4352996,1
4EQ2,kill,POGR,1468.836099,2
4EQ2,kill,QURU,1398.66862,1
4EQ2,live,ACRU,106.8927018,2
4EQ2,live,PIST,1000.016176,4
4EQ2,live,POGR,1576.247164,4
4EQ2,live,QURU,255.356533,2
4WA1,kill,BEPA,78.539825,1
4WA1,kill,PIST,1508.789308,3
4WA1,kill,POGR,213.8246736,1
4WA1,kill,QURU,1129.379122,2
4WA1,live,ACRU,156.1450261,1
4WA1,live,PIST,703.3162789,2
4WA1,live,POGR,2508.91544,5
4WA2,kill,QURU,3168.265125,4
4WA2,live,ACRU,1178.71784,9
4WA2,live,FAGR,65.03882908,1
4WA2,live,PIST,842.4652868,7
4WA2,live,QURU,968.8986971,2
4WA3,kill,PIST,860.4901767,1
4WA3,kill,QURU,4925.428775,5
4WA3,live,ACRU,1432.74705,7
4WA3,live,FAGR,65.03882908,1
4WA3,live,PIST,1327.283773,9
4WA3,live,QURU,156.1450261,1
4WP1,kill,BEPA,78.539825,1
4WP1,kill,PIST,1368.71353,4
4WP1,kill,POGR,905.2657309,4
4WP1,live,ACRU,273.0437016,2
4WP1,live,PIST,373.2526643,1
4WP1,live,POGR,1995.484896,4
4WP2,kill,BEPA,78.539825,1
4WP2,kill,PIST,1508.789308,3
4WP2,kill,POGR,295.5375075,2
4WP2,kill,QURU,486.954769,1
4WP2,live,ACRU,273.0437016,2
4WP2,live,PIST,703.3162789,2
4WP2,live,POGR,1830.048608,4
4WP3,kill,PIST,1225.26054,2
4WP3,kill,QURU,1129.379122,2
4WP3,live,ACRU,273.0437016,2
4WP3,live,PIST,703.3162789,2
4WP3,live,POGR,1901.928256,4
4WQ1,kill,PIST,1055.834429,3
4WQ1,kill,POGR,213.8246736,1
4WQ1,live,ACRU,378.9546556,2
4WQ1,live,PIST,688.9749068,3
4WQ1,live,POGR,56.74502356,1
4WQ1,live,QURU,968.8986971,2
4WQ2,kill,QURU,642.4243526,1
4WQ2,live,ACRU,1652.752807,8
4WQ2,live,FAGR,65.03882908,1
4WQ2,live,PIST,495.3899462,3
4WQ2,live,POGR,376.6848547,1
4WQ2,live,QURU,839.5043354,2
4WQ3,kill,PIST,2036.773282,2
4WQ3,kill,QURU,7531.537248,7
4WQ3,live,FAGR,147.4113975,1
4WQ3,live,PIST,1017.389185,9
4WQ3,live,QURU,380.132753,1
