"Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","CsMchSD","HsMchSD","CrMchSD","HrMchSD","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","Filename","Tree_ID","Sample","Filename_date","Timestamp","Comments","final_ID","Subplot","Filename_2018","Species","girdled","Year"
1,"14:12:07",184.5,0,9.64,0.181,303,2.31,1.3,27.61,6,1.42,1,2.84,26.02,27.61,25.04,412.84,400.17,21.624,24.326,63.38,71.3,500.2,1999,303,98.99,-2.3,0.0837,0.0745,0.00273,0.0623,0.00186,1,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20210804","1EA1",1,"20210804",2021-08-04 14:09:49,"14:09:50 ; ","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2021
2,"14:12:08",185,0,9.69,0.181,302,2.31,1.3,27.61,6,1.42,1,2.84,26.02,27.61,25.04,412.89,400.16,21.624,24.324,63.38,71.29,500.2,1999,302,98.99,-2.3,0.0837,0.0745,0.00273,0.0623,0.00186,1,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20210804","1EA1",1,"20210804",2021-08-04 14:09:49,"14:09:50 ; ","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2021
3,"14:12:08",186,0,9.77,0.181,302,2.31,1.3,27.6,6,1.42,1,2.84,26.02,27.6,25.04,413,400.17,21.621,24.321,63.37,71.28,500.3,1999,302,98.99,-2.3,0.0837,0.0745,0.00273,0.0623,0.00186,1,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20210804","1EA1",1,"20210804",2021-08-04 14:09:49,"14:09:50 ; ","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2021
4,"14:12:09",186.5,0,9.78,0.181,301,2.31,1.3,27.61,6,1.42,1,2.84,26.02,27.61,25.04,413.03,400.18,21.623,24.321,63.37,71.28,500.3,1999,302,98.99,-2.3,0.0837,0.0745,0.00273,0.0623,0.00186,1,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20210804","1EA1",1,"20210804",2021-08-04 14:09:49,"14:09:50 ; ","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2021
5,"14:12:10",187,0,9.79,0.181,301,2.3,1.3,27.61,6,1.42,1,2.84,26.02,27.61,25.04,413.03,400.18,21.623,24.318,63.38,71.27,500.3,1999,301,98.99,-2.3,0.0837,0.0745,0.00273,0.0623,0.00186,1,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20210804","1EA1",1,"20210804",2021-08-04 14:09:49,"14:09:50 ; ","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2021
1,"14:06:45",183,0,10,0.172,295,2.11,1.25,27.31,6,1.42,1,2.84,26,27.31,25.04,413.47,400.41,21.711,24.179,63.69,70.93,500.2,1998,352,98.98,-2.23,0.0802,0.1,0.00757,0.122,0.00656,1,-0.22,2.74,1,0,0.16,111115,"1EA1_02_20210804","1EA1",2,"20210804",2021-08-04 14:04:39,"14:04:40 ; ","1EA1","D01E","D01E_acru_can02_07222018","acru","N",2021
2,"14:06:46",183.5,0,10.1,0.171,295,2.11,1.25,27.3,6,1.42,1,2.84,26,27.3,25.04,413.49,400.42,21.711,24.175,63.69,70.92,500.2,1998,352,98.98,-2.23,0.0802,0.1,0.00757,0.122,0.00656,1,-0.22,2.74,1,0,0.16,111115,"1EA1_02_20210804","1EA1",2,"20210804",2021-08-04 14:04:39,"14:04:40 ; ","1EA1","D01E","D01E_acru_can02_07222018","acru","N",2021
3,"14:06:46",184.5,0,10.1,0.171,294,2.1,1.25,27.3,6,1.42,1,2.84,26,27.3,25.04,413.53,400.46,21.712,24.169,63.69,70.89,500.3,1998,349,98.98,-2.23,0.0802,0.1,0.00757,0.122,0.00656,1,-0.22,2.74,1,0,0.16,111115,"1EA1_02_20210804","1EA1",2,"20210804",2021-08-04 14:04:39,"14:04:40 ; ","1EA1","D01E","D01E_acru_can02_07222018","acru","N",2021
4,"14:06:47",185,0,10,0.171,295,2.1,1.25,27.3,6,1.42,1,2.84,26,27.3,25.04,413.52,400.51,21.712,24.167,63.69,70.89,500.3,1998,347,98.98,-2.23,0.0802,0.1,0.00757,0.122,0.00656,1,-0.22,2.74,1,0,0.16,111115,"1EA1_02_20210804","1EA1",2,"20210804",2021-08-04 14:04:39,"14:04:40 ; ","1EA1","D01E","D01E_acru_can02_07222018","acru","N",2021
5,"14:06:47",185.5,0,10,0.171,295,2.1,1.25,27.29,6,1.42,1,2.84,26,27.29,25.04,413.51,400.52,21.709,24.163,63.68,70.88,500.3,1998,346,98.98,-2.23,0.0802,0.1,0.00757,0.122,0.00656,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_02_20210804","1EA1",2,"20210804",2021-08-04 14:04:39,"14:04:40 ; ","1EA1","D01E","D01E_acru_can02_07222018","acru","N",2021
1,"14:17:25",211,0,5.47,0.102,304,1.43,1.39,27.5,6,1.42,1,2.84,26.03,27.5,25.04,407.15,399.9,21.474,23.151,62.91,67.82,500.2,1999,79,99,-2.11,0.0824,0.0469,0.0138,0.0382,0.0127,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_03_20210804","1EA1",3,"20210804",2021-08-04 14:14:35,"14:14:36 ; ","1EA1","D01E","D01E_acru_can03_07222018","acru","N",2021
2,"14:17:26",212,0,5.44,0.102,304,1.43,1.39,27.49,6,1.42,1,2.84,26.03,27.49,25.04,407.13,399.92,21.474,23.145,62.91,67.8,500.2,1999,79,99,-2.11,0.0824,0.0469,0.0138,0.0382,0.0127,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_03_20210804","1EA1",3,"20210804",2021-08-04 14:14:35,"14:14:36 ; ","1EA1","D01E","D01E_acru_can03_07222018","acru","N",2021
3,"14:17:27",213,0,5.44,0.102,304,1.42,1.39,27.47,6,1.42,1,2.84,26.02,27.47,25.04,407.14,399.93,21.473,23.14,62.91,67.8,500.1,1999,79,99,-2.11,0.0824,0.0469,0.0138,0.0382,0.0127,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_03_20210804","1EA1",3,"20210804",2021-08-04 14:14:35,"14:14:36 ; ","1EA1","D01E","D01E_acru_can03_07222018","acru","N",2021
4,"14:17:28",214,0,5.42,0.102,304,1.42,1.39,27.47,6,1.42,1,2.84,26.03,27.47,25.04,407.15,399.96,21.472,23.137,62.9,67.78,500.2,1999,79,99,-2.11,0.0824,0.0469,0.0138,0.0382,0.0127,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_03_20210804","1EA1",3,"20210804",2021-08-04 14:14:35,"14:14:36 ; ","1EA1","D01E","D01E_acru_can03_07222018","acru","N",2021
5,"14:17:29",214.5,0,5.44,0.102,304,1.42,1.39,27.47,6,1.42,1,2.84,26.03,27.47,25.05,407.21,400,21.473,23.136,62.91,67.78,500.2,1999,79,99,-2.11,0.0824,0.0469,0.0138,0.0382,0.0127,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_03_20210804","1EA1",3,"20210804",2021-08-04 14:14:35,"14:14:36 ; ","1EA1","D01E","D01E_acru_can03_07222018","acru","N",2021
1,"13:26:56",201.5,0,12.1,0.253,311,2.79,1.15,27.25,6,1.42,1,2.84,26.23,27.25,25.04,415.85,399.97,21.789,25.055,63.05,72.5,500.3,2000,298,98.96,-2.34,0.0821,0.0834,0.00337,0.0849,0.00154,0.3,-0.22,2.74,1,0,0.16,111115,"1EA2_01_20210804","1EA2",1,"20210804",2021-08-04 13:24:35,"13:24:37 ; ","1EA2","D01E","D01E_acru_can04_07222018","acru","N",2021
