"Subplot","Species","Calculation","Value","Date","Filename_2018","final_ID","Sample","girdled","Year"
"D01E","acru","NDVI","0.8401645",2018-07-22,"D01E_acru_can01_07222018","1EA1",1,"N",2018
"D01E","acru","NPCI","-0.2308563",2018-07-22,"D01E_acru_can01_07222018","1EA1",1,"N",2018
"D01E","acru","RENDVI","0.4646993",2018-07-22,"D01E_acru_can01_07222018","1EA1",1,"N",2018
"D01E","acru","PRI","0.05401657",2018-07-22,"D01E_acru_can01_07222018","1EA1",1,"N",2018
"D01E","acru","NDVI","0.8543653",2018-07-22,"D01E_acru_can02_07222018","1EA1",2,"N",2018
"D01E","acru","NPCI","-0.249328",2018-07-22,"D01E_acru_can02_07222018","1EA1",2,"N",2018
"D01E","acru","RENDVI","0.4753009",2018-07-22,"D01E_acru_can02_07222018","1EA1",2,"N",2018
"D01E","acru","PRI","0.05151567",2018-07-22,"D01E_acru_can02_07222018","1EA1",2,"N",2018
"D01E","acru","NDVI","0.8437316",2018-07-22,"D01E_acru_can03_07222018","1EA1",3,"N",2018
"D01E","acru","NPCI","-0.2287406",2018-07-22,"D01E_acru_can03_07222018","1EA1",3,"N",2018
"D01E","acru","RENDVI","0.4618936",2018-07-22,"D01E_acru_can03_07222018","1EA1",3,"N",2018
"D01E","acru","PRI","0.05703226",2018-07-22,"D01E_acru_can03_07222018","1EA1",3,"N",2018
"D01E","acru","NDVI","0.8457421",2018-07-22,"D01E_acru_can04_07222018","1EA2",1,"N",2018
"D01E","acru","NPCI","-0.2452009",2018-07-22,"D01E_acru_can04_07222018","1EA2",1,"N",2018
"D01E","acru","RENDVI","0.5021393",2018-07-22,"D01E_acru_can04_07222018","1EA2",1,"N",2018
"D01E","acru","PRI","0.0552083",2018-07-22,"D01E_acru_can04_07222018","1EA2",1,"N",2018
"D01E","acru","NDVI","0.839386",2018-07-22,"D01E_acru_can05_07222018","1EA2",2,"N",2018
"D01E","acru","NPCI","-0.234221",2018-07-22,"D01E_acru_can05_07222018","1EA2",2,"N",2018
"D01E","acru","RENDVI","0.5102671",2018-07-22,"D01E_acru_can05_07222018","1EA2",2,"N",2018
"D01E","acru","PRI","0.04468371",2018-07-22,"D01E_acru_can05_07222018","1EA2",2,"N",2018
"D01E","acru","NDVI","0.8284909",2018-07-22,"D01E_acru_can06_07222018","1EA2",3,"N",2018
"D01E","acru","NPCI","-0.2095326",2018-07-22,"D01E_acru_can06_07222018","1EA2",3,"N",2018
"D01E","acru","RENDVI","0.4970773",2018-07-22,"D01E_acru_can06_07222018","1EA2",3,"N",2018
"D01E","acru","PRI","0.05095636",2018-07-22,"D01E_acru_can06_07222018","1EA2",3,"N",2018
"D01E","acru","NDVI","0.8540159",2018-07-22,"D01E_acru_can07_07222018","1EA3",1,"N",2018
