"Filename","Species","Subplot","final_ID","Sample","Year","disturbance_severity","treatment","crown_mean_Asat","crown_mean_Cond"
"D01E_acru_can01_07222018","acru","D01E","1EA1",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_acru_can04_07222018","acru","D01E","1EA2",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_acru_can07_07222018","acru","D01E","1EA3",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_pogr_can01_07222018","pogr","D01E","1EP1",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_pogr_can04_07222018","pogr","D01E","1EP2",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_pogr_can07_07222018","pogr","D01E","1EP3",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_quru_can01_07222018","quru","D01E","1EQ1",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_quru_can04_07222018","quru","D01E","1EQ2",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_quru_can07_07222018","quru","D01E","1EQ3",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01W_acru_can01_07232018","acru","D01W","1WA1",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_acru_can04_07232018","acru","D01W","1WA2",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_acru_can07_07232018","acru","D01W","1WA3",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_pogr_can01_07232018","pogr","D01W","1WP1",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_pogr_can04_07232018","pogr","D01W","1WP2",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_pogr_can07_07232018","pogr","D01W","1WP3",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_quru_can01_07232018","quru","D01W","1WQ1",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_quru_can04_07232018","quru","D01W","1WQ2",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_quru_can07_07232018","quru","D01W","1WQ3",1,2018,"0","T",13.5816616323168,0.279615095608505
