"Species","Haglof_Plot_ID","Haglof_ID","Tag","Tree_Dia","Latitude","Longitude","PlotID","Health_status","dbh","component","a","b","se","source","ref","leaf.mass","genus","sla","lai","focal","fate"
"ACRU",101,91,"3365",142,45.561636,-84.7078115,"D01","L",14.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.21938620442652,"Acer",19,42.1683378841038,"N","live"
"ACRU",115,204,"3480",184,45.5611849,-84.7056061,"D03","L",18.4,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.30771649674479,"Acer",19,62.846613438151,"N","live"
"ACRU",127,47,"2EA1",45,45.5615044,-84.7051546,"D02","L",4.5,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.378143032795339,"Acer",19,7.18471762311144,"Y","live"
"ACRU",104,121,"3395",166,45.5614537,-84.7074741,"D01","L",16.6,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.8227686625248,"Acer",19,53.6326045879712,"N","live"
"ACRU",104,120,"3394",153,45.5614536,-84.707468,"D01","L",15.3,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.48962327388348,"Acer",19,47.3028422037861,"N","live"
"ACRU",129,480,"3760",113,45.5612893,-84.7046779,"D02","L",11.3,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.56116797847633,"Acer",19,29.6621915910503,"N","live"
"ACRU",125,367,"3645",81,45.5617391,-84.7053114,"D02","L",8.1,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.934922821128842,"Acer",19,17.763533601448,"N","live"
"ACRU",134,550,"3832",145,45.5613424,-84.7037358,"D04","L",14.5,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.29200497119752,"Acer",19,43.5480944527529,"N","live"
"ACRU",120,294,"3571",116,45.5609595,-84.704143,"D03","L",11.6,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.62545194767728,"Acer",19,30.8835870058684,"N","live"
"ACRU",116,22,"3WA3",65,45.5610822,-84.7052407,"D03","L",6.5,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.666185845611246,"Acer",19,12.6575310666137,"Y","live"
"ACRU",110,192,"3468",230,45.5612229,-84.706186,"D01","L",23,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.66411982506436,"Acer",19,88.6182766762229,"N","live"
"ACRU",117,245,"3522",157,45.561114,-84.7047489,"D03","L",15.7,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.59056382402401,"Acer",19,49.2207126564562,"N","live"
"ACRU",137,614,"3896",197,45.5614018,-84.7031335,"D04","L",19.7,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.67440328007903,"Acer",19,69.8136623215016,"N","live"
"ACRU",129,482,"3762",97,45.5612861,-84.7046747,"D02","L",9.7,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.23406291816607,"Acer",19,23.4471954451554,"N","live"
"ACRU",103,105,"3379",171,45.5615482,-84.7077148,"D01","L",17.1,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.95476429086225,"Acer",19,56.1405215263827,"N","live"
"ACRU",120,293,"3570",117,45.5609582,-84.7041412,"D03","D",11.7,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.64708138497441,"Acer",19,31.2945463145138,"N","live"
"ACRU",125,381,"3660",86,45.5616857,-84.7053126,"D02","L",8.6,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.02526574324182,"Acer",19,19.4800491215946,"N","live"
"ACRU",117,246,"3523",186,45.5611047,-84.7047441,"D03","L",18.6,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.36324701878833,"Acer",19,63.9016933569782,"N","live"
"ACRU",115,205,"3481",143,45.5611907,-84.7056125,"D03","L",14.3,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.24350132057645,"Acer",19,42.6265250909525,"N","live"
"ACRU",125,357,"3634",128,45.5616946,-84.705449,"D02","L",12.8,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.89152543290559,"Acer",19,35.9389832252062,"N","live"
"ACRU",116,23,"3WA2",126,45.5610407,-84.705116,"D03","L",12.6,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.84620308055004,"Acer",19,35.0778585304508,"Y","live"
"ACRU",129,481,"3761",105,45.561289,-84.7046794,"D02","L",10.5,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.39424903435932,"Acer",19,26.4907316528272,"N","live"
"ACRU",120,319,"3596",152,45.5609885,-84.7041199,"D03","L",15.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.46460858677546,"Acer",19,46.8275631487338,"N","live"
"ACRU",133,521,"3801",109,45.5612268,-84.7038985,"D04","L",10.9,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.47688146005833,"Acer",19,28.0607477411083,"N","live"
"ACRU",110,193,"3469",232,45.5612272,-84.7061765,"D01","L",23.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.72672492029508,"Acer",19,89.8077734856066,"N","live"
"ACRU",124,328,"3605",111,45.5617322,-84.7056214,"D02","L",11.1,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.518819691525,"Acer",19,28.8575741389751,"N","live"
"ACRU",104,5,"1WA2",97,45.5615596,-84.7073983,"D01","L",9.7,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.23406291816607,"Acer",19,23.4471954451554,"Y","live"
"ACRU",116,224,"3500",149,45.5610803,-84.7052306,"D03","L",14.9,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.39009787171374,"Acer",19,45.411859562561,"N","live"
"ACRU",127,407,"3686",125,45.5615289,-84.7053924,"D02","L",12.5,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.82368678818335,"Acer",19,34.6500489754837,"N","live"
"ACRU",128,453,"3733",104,45.5613701,-84.704933,"D02","L",10.4,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.37385270868471,"Acer",19,26.1032014650095,"N","live"
"ACRU",129,476,"3756",107,45.5613438,-84.7047106,"D02","L",10.7,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.43535672838668,"Acer",19,27.2717778393469,"N","live"
"ACRU",134,548,"3830",169,45.5612894,-84.7036753,"D04","L",16.9,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.90171234183121,"Acer",19,55.132534494793,"N","live"
"ACRU",134,549,"3831",98,45.5612896,-84.7036706,"D04","L",9.8,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.25370970677177,"Acer",19,23.8204844286636,"N","live"
"ACRU",118,29,"3EA3",209,45.5609572,-84.7045504,"D03","L",20.9,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.02470554825958,"Acer",19,76.469405416932,"Y","live"
"ACRU",107,10,"1EA3",96,45.5614548,-84.7068673,"D01","L",9.6,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.214525200963,"Acer",19,23.0759788182971,"Y","live"
"ACRU",101,75,"3349",192,45.5618197,-84.7077836,"D01","L",19.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.53177252758627,"Acer",19,67.1036780241391,"N","live"
"ACRU",138,643,"3926",82,45.561529,-84.7029778,"D04","L",8.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.952757035581599,"Acer",19,18.1023836760504,"N","live"
"ACRU",129,485,"3765",186,45.5612241,-84.704777,"D02","L",18.6,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.36324701878833,"Acer",19,63.9016933569782,"N","kill"
"ACRU",104,129,"3403",101,45.5614039,-84.7072494,"D01","D",10.1,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.31329940479073,"Acer",19,24.9526886910238,"N","live"
"ACRU",104,131,"3405",184,45.5613525,-84.7072232,"D01","L",18.4,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.30771649674479,"Acer",19,62.846613438151,"N","live"
"ACRU",127,412,"3691",118,45.5615931,-84.7051287,"D02","L",11.8,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.66881088206259,"Acer",19,31.7074067591893,"N","live"
"ACRU",124,332,"3609",94,45.5616886,-84.7056006,"D02","L",9.4,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.1757790734937,"Acer",19,22.3398023963803,"N","live"
"ACRU",125,380,"3659",90,45.5616871,-84.7053166,"D02","L",9,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.09961915460115,"Acer",19,20.8927639374219,"N","live"
"ACRU",107,9,"1WA1",75,45.5615227,-84.707053,"D01","L",7.5,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.830430281813256,"Acer",19,15.7781753544519,"Y","live"
"ACRU",128,454,"3734",95,45.5614222,-84.704928,"D02","L",9.5,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.19509707634791,"Acer",19,22.7068444506103,"N","live"
"ACRU",121,35,"3EA2",275,45.5608512,-84.7039913,"D03","L",27.5,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",6.14159508875957,"Acer",19,116.690306686432,"Y","live"
"ACRU",126,385,"3664",93,45.5617528,-84.705198,"D02","L",9.3,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.15657172976929,"Acer",19,21.9748628656166,"N","live"
"ACRU",120,318,"3595",142,45.5609849,-84.7041248,"D03","L",14.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.21938620442652,"Acer",19,42.1683378841038,"N","live"
"ACRU",137,69,"4EA2",73,45.5614649,-84.7032173,"D04","L",7.3,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.796573833760687,"Acer",19,15.134902841453,"Y","live"
"ACRU",137,68,"4EA1",91,45.5615275,-84.7032335,"D04","L",9.1,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.11849121147078,"Acer",19,21.2513330179448,"Y","live"
"ACRU",129,461,"3741",89,45.5614088,-84.7048545,"D02","L",8.9,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.08085999274479,"Acer",19,20.5363398621511,"N","live"
"ACRU",127,421,"3700",217,45.5615002,-84.7051554,"D02","D",21.7,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.26438907383197,"Acer",19,81.0233924028075,"N","live"
"ACRU",125,350,"3627",86,45.5618227,-84.7054878,"D02","L",8.6,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.02526574324182,"Acer",19,19.4800491215946,"N","live"
"ACRU",116,225,"3501",139,45.5610842,-84.7052369,"D03","L",13.9,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.14759124191562,"Acer",19,40.8042335963968,"N","live"
"ACRU",128,452,"3732",123,45.5613812,-84.7049486,"D02","L",12.3,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.77894574674723,"Acer",19,33.7999691881974,"N","live"
"ACRU",120,33,"3EA1",191,45.5609645,-84.7041359,"D03","L",19.1,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.50348463655612,"Acer",19,66.5662080945663,"Y","live"
"ACRU",127,439,"3718",138,45.5613861,-84.7051312,"D02","L",13.8,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.12384405361475,"Acer",19,40.3530370186802,"N","kill"
"ACRU",129,469,"3749",103,45.5614336,-84.7047991,"D02","L",10.3,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.35356201372611,"Acer",19,25.7176782607961,"N","live"
"ACRU",103,111,"3385",92,45.5615449,-84.7076382,"D01","L",9.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.13747559095579,"Acer",19,21.61203622816,"N","live"
"ACRU",103,110,"3384",168,45.5615463,-84.7076423,"D01","L",16.8,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.8753129851897,"Acer",19,54.6309467186042,"N","live"
"ACRU",124,324,"3601",110,45.5617242,-84.7056641,"D02","L",11,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.49779910572978,"Acer",19,28.4581830088658,"N","live"
"ACRU",127,431,"3710",87,45.5614968,-84.7050702,"D02","L",8.7,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.04368269073493,"Acer",19,19.8299711239636,"N","live"
"ACRU",137,613,"3895",136,45.5614007,-84.7031363,"D04","L",13.6,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.07662821620831,"Acer",19,39.4559361079578,"N","live"
"ACRU",104,117,"3391",95,45.561558,-84.7074007,"D01","D",9.5,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.19509707634791,"Acer",19,22.7068444506103,"N","live"
"ACRU",118,256,"3533",109,45.5609244,-84.7047168,"D03","L",10.9,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.47688146005833,"Acer",19,28.0607477411083,"N","live"
