Haglof_Plot_ID,Plot_Radius,Haglof_ID,Tree_Dia_mm,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude
101,25,1,516,483,684,607,-5.61,-0.79,5.67,262,-3,45.5617452,-84.7078597
101,25,3347,339,1144,1327,1178,-11.33,4.06,12.04,289.7,2,45.5617903,-84.7079312
101,25,3348,170,812,814,638,-0.2,7.5,7.5,358.48,-4,45.5618184,-84.7077874
101,25,3349,192,831,826,656,0.09,7.66,7.66,0.67,-6,45.5618197,-84.7077836
101,25,3350,111,580,549,393,0.89,4.96,5.04,10.13,-5,45.5617953,-84.7077744
101,25,3351,93,589,521,398,2.02,4.57,5,23.8,-3,45.5617915,-84.7077601
101,25,3352,118,613,554,421,1.8,4.95,5.26,19.95,-4,45.5617949,-84.7077628
101,25,3353,234,593,440,432,3.95,2.66,4.76,56.11,3,45.5617738,-84.707736
101,25,3355,378,1160,1374,1301,-12.4,-2.39,12.63,259.1,-2,45.5617326,-84.7079473
101,25,3357,90,1083,1270,1249,-10.96,-4.89,12,245.96,-1,45.5617097,-84.7079297
101,25,3358,94,1355,1540,1550,-12.42,-8.05,14.8,237.05,-4,45.5616817,-84.7079495
101,25,3359,152,1140,1279,1512,-5.8,-11.47,12.85,206.82,-1,45.5616492,-84.707866
101,25,3360,192,992,1110,1190,-6.12,-9.03,10.91,214.1,-2,45.5616712,-84.7078692
101,25,3361,260,873,1002,1073,-5.86,-7.76,9.72,217.06,-2,45.5616827,-84.7078654
101,25,3362,247,1012,1113,1207,-5.28,-9.67,11.02,208.64,-1,45.5616653,-84.7078587
101,25,3363,267,654,737,841,-2.79,-6.77,7.32,202.39,-7,45.5616907,-84.7078258
101,25,3364,397,413,568,605,-3.61,-3.6,5.1,225.08,-8,45.5617194,-84.7078352
101,25,3365,142,1228,1253,1405,-1.5,-12.82,12.91,186.68,11,45.561636,-84.7078115
101,25,3366,165,1274,1281,1440,-0.33,-13.27,13.27,181.42,5,45.5616316,-84.7077967
101,25,3367,77,1178,1179,1344,0.02,-12.32,12.32,179.91,0,45.5616401,-84.7077918
101,25,3368,88,1757,1746,1918,1.06,-18.04,18.07,176.64,4,45.5615884,-84.7077806
102,25,3354,131,957,1142,1136,-9.42,-5.17,10.75,241.25,-5,45.5617121,-84.7080166
102,25,3356,362,633,747,824,-3.81,-6.09,7.19,212.06,-3,45.5617024,-84.7079451
103,25,3369,133,1339,1530,1492,-13.73,-4.69,14.51,251.13,-5,45.5616118,-84.7077973
103,25,3370,400,1050,1255,1213,-10.88,-3.87,11.55,250.44,-2,45.5616184,-84.7077605
103,25,3371,290,785,978,907,-8.71,-1.17,8.79,262.36,2,45.5616422,-84.7077318
103,25,3372,231,783,970,923,-8.53,-2.35,8.84,254.61,-8,45.5616315,-84.7077298
103,25,3373,133,754,937,892,-8.27,-2.27,8.58,254.65,-13,45.5616321,-84.7077265
103,25,3,430,592,766,753,-6.1,-3.13,6.86,242.85,-12,45.5616239,-84.7076991
103,25,4,120,730,894,902,-7.02,-4.6,8.39,236.74,11,45.5616108,-84.7077113
103,25,3374,166,784,961,960,-7.73,-4.53,8.96,239.63,-1,45.5616117,-84.7077204
103,25,3375,132,872,1286,1043,-10.26,-0.77,10.29,265.71,-9,45.5616461,-84.7077515
103,25,3376,280,818,969,1000,-6.89,-6.06,9.18,228.67,-8,45.5615977,-84.7077102
103,25,3377,265,1020,1153,1216,-7.11,-8.64,11.19,219.45,0,45.5615746,-84.707714
103,25,3378,124,1168,1333,1356,-10.21,-7.77,12.83,232.72,3,45.5615832,-84.7077533
103,25,3379,171,1262,1369,1457,-7.09,-11.57,13.57,211.52,-5,45.5615482,-84.7077148
103,25,3380,108,1214,1310,1400,-6.35,-11.42,13.07,209.08,-17,45.5615494,-84.7077053
103,25,3381,282,1096,1193,1300,-5.27,-10.62,11.85,206.39,1,45.5615563,-84.7076911
103,25,3382,102,1003,1098,1198,-4.98,-9.77,10.97,206.99,-2,45.5615638,-84.7076871
103,25,3383,352,682,738,864,-1.86,-7.23,7.47,194.44,-19,45.5615859,-84.7076463
103,25,3384,168,1105,1133,1288,-1.43,-11.62,11.71,187.02,-1,45.5615463,-84.7076423
103,25,3385,92,1118,1139,1296,-1.1,-11.77,11.82,185.34,-1,45.5615449,-84.7076382
103,25,3386,241,1135,1093,1276,2.5,-11.33,11.6,167.57,-6,45.5615479,-84.707592
104,30,3387,128,1756,1921,1766,-16.18,8.19,18.13,296.83,2,45.5615373,-84.7075349
104,30,3388,255,1387,1584,1450,-14.34,3.03,14.65,281.93,1,45.5614905,-84.7075132
104,30,3389,300,1368,1560,1424,-13.99,3.41,14.4,283.7,6,45.5614938,-84.7075086
104,30,3390,142,1497,1631,1435,-10.39,11.07,15.18,316.81,5,45.5615617,-84.7074597
104,30,3391,95,1231,1321,1120,-5.77,10.79,12.23,331.84,3,45.561558,-84.7074007
104,30,5,97,1240,1326,1127,-5.59,10.96,12.3,333,4,45.5615596,-84.7073983
104,30,6,298,1190,1328,1139,-8.78,8.28,12.08,313.32,-2,45.5615363,-84.7074402
104,30,3392,164,947,1112,944,-8.6,5.01,9.96,300.19,2,45.5615068,-84.7074391
104,30,3393,357,711,890,741,-7.18,2.66,7.66,290.33,-1,45.5614853,-84.7074217
104,30,3394,153,971,1172,1090,-10.69,-0.97,10.74,264.83,-4,45.5614536,-84.707468
104,30,3395,166,1019,1222,1138,-11.17,-0.97,11.21,265.04,0,45.5614537,-84.7074741
104,30,3396,297,454,548,352,-2.48,3.6,4.37,325.44,1,45.5614925,-84.7073612
104,30,3398,345,552,400,383,3.41,2.58,4.27,52.86,5,45.5614819,-84.7072862
104,30,3399,302,600,443,434,3.92,2.71,4.77,55.41,3,45.5614829,-84.7072795
104,30,7,383,762,631,576,4.39,4.66,6.4,43.3,-7,45.5615003,-84.7072729
104,30,3400,127,537,447,641,2.31,-4.83,5.36,154.49,-3,45.5614155,-84.707303
104,30,3401,271,699,507,669,5.81,-1.97,6.14,108.7,3,45.5614403,-84.707257
104,30,3402,148,915,767,962,6.32,-6.09,8.78,133.94,-1,45.5614031,-84.7072521
104,30,3403,101,924,773,966,6.53,-6,8.86,132.58,-2,45.5614039,-84.7072494
104,30,3404,247,1202,1062,1258,8.04,-8.45,11.66,136.42,1,45.5613815,-84.7072309
104,30,3405,184,1476,1353,1554,8.73,-11.65,14.56,143.15,0,45.5613525,-84.7072232
104,30,3406,138,1534,1408,1608,9.28,-11.96,15.14,142.19,-5,45.5613495,-84.7072162
104,30,3407,89,1458,1326,1525,9.24,-11,14.36,139.97,1,45.5613582,-84.7072165
104,30,3408,156,1477,1340,1539,9.65,-10.78,14.47,138.16,2,45.5613601,-84.7072111
104,30,3409,219,1265,1069,1198,11.6,-1.64,11.72,98.03,-4,45.5614418,-84.7071828
104,30,3410,342,1694,1571,1772,10.08,-13.27,16.66,142.79,3,45.5613376,-84.7072066
104,30,3411,228,1730,1610,1832,9.34,-14.4,17.16,147.03,-1,45.5613276,-84.7072164
104,30,3412,100,1677,1547,1747,10.48,-12.82,16.56,140.74,-9,45.5613415,-84.7072013
104,30,3413,197,1760,1580,1773,14.23,-9.27,16.98,123.08,1,45.5613725,-84.707152
106,25,3414,287,1769,1581,1678,16.67,0.26,16.68,89.11,7,45.5614397,-84.7071034
106,25,3415,137,1800,1623,1800,15.12,-8.6,17.39,119.63,3,45.5613605,-84.7071265
106,25,3416,169,1886,1752,1945,12.5,-13.73,18.57,137.67,5,45.561315,-84.7071619
106,25,3417,415,2266,2078,2260,19.36,-10.16,21.87,117.7,6,45.5613453,-84.7070728
106,25,3418,388,2265,2091,2273,18.68,-11.54,21.95,121.71,1,45.5613331,-84.7070821
106,25,8,432,1590,1396,1545,14.41,-3.94,14.94,105.31,5,45.5614025,-84.7071339
106,25,3419,370,2156,1971,2142,18.77,-8.89,20.77,115.33,4,45.5613569,-84.7070798
107,25,3420,83,920,1117,1018,-10.16,0.29,10.17,271.63,6,45.561494,-84.7070154
107,25,3421,91,678,855,855,-6.84,-4.03,7.94,239.49,7,45.5614543,-84.7069744
107,25,9,75,1281,1472,1335,-13.19,3.4,13.62,284.44,5,45.5615227,-84.707053
107,25,3422,81,877,1026,1066,-7.22,-6.75,9.89,226.92,6,45.5614299,-84.7069802
107,25,3423,83,727,851,923,-4.91,-6.72,8.32,216.15,-1,45.5614296,-84.7069506
107,25,3424,399,945,1036,838,-4.68,7.96,9.24,329.53,8,45.5615616,-84.7069424
107,25,3425,428,1047,1156,930,-5.17,8.84,10.24,329.71,2,45.5615697,-84.7069482
107,25,10,96,400,320,512,1.52,-3.73,4.03,157.88,4,45.5614548,-84.7068673
107,25,3426,76,945,766,819,8.12,2.28,8.43,74.32,1,45.5615072,-84.7067805
107,25,3427,435,948,775,849,8.33,1.25,8.42,81.45,23,45.5614979,-84.7067782
107,25,3428,215,928,940,1092,-0.43,-9.79,9.8,182.51,3,45.5614009,-84.7068944
107,25,3429,256,1205,1215,1372,-0.45,-12.54,12.55,182.04,6,45.5613761,-84.7068956
107,25,3430,313,1303,1311,1473,-0.33,-13.51,13.51,181.39,6,45.5613674,-84.7068945
107,25,3431,322,1210,1193,1358,1.25,-12.36,12.42,174.23,8,45.5613773,-84.7068739
107,25,3432,375,1366,1321,1503,3.28,-13.44,13.83,166.27,4,45.5613671,-84.7068482
108,25,3433,214,1370,1536,1543,-12.42,-7.99,14.77,237.26,-3,45.5613541,-84.7067815
108,25,3434,103,1051,1234,1194,-11.04,-3.5,11.59,252.42,-16,45.5613941,-84.7067622
108,25,3435,101,1130,1266,1322,-8.27,-9.22,12.38,221.89,1,45.561342,-84.7067288
108,25,3436,122,1289,1402,1480,-7.8,-11.5,13.89,214.15,1,45.5613214,-84.7067236
108,25,3437,112,685,821,875,-5.21,-5.96,7.91,221.16,2,45.5613705,-84.7066884
108,25,11,90,570,687,749,-3.97,-5.35,6.66,216.56,-21,45.5613757,-84.7066723
108,25,3439,119,1104,1172,1297,-3.8,-11.25,11.88,198.65,2,45.5613225,-84.7066723
108,25,3440,101,1388,1443,1668,-3.05,-14.59,14.91,191.79,-14,45.5612923,-84.7066639
108,25,3441,118,1396,1439,1585,-2.93,-14.4,14.7,191.51,4,45.561294,-84.7066624
