Filename_2018,date,leaf_area_cm2,leaf_mass_g,LMA_gm2,notes
D01W_acru_can01_07232018,7/23/2018,47.46,0.3434,72.35566793,Morning after another rain event overnight; leaves had to be dried
D01W_acru_can02_07232018,7/23/2018,37.96,0.2355,62.03898841,
D01W_acru_can03_07232018,7/23/2018,63.95,0.4397,68.75684128,
D01W_acru_can04_07232018,7/23/2018,41.84,0.3365,80.42543021,
D01W_acru_can05_07232018,7/23/2018,43.89,0.3134,71.4057872,
D01W_acru_can06_07232018,7/23/2018,53.82,0.3993,74.19175028,
D01W_acru_can07_07232018,7/23/2018,38.26,0.2895,75.66649242,
D01W_acru_can08_07232018,7/23/2018,43.18,0.2957,68.48077814,
D01W_acru_can09_07232018,7/23/2018,34.61,0.2636,76.16295868,
D01W_pogr_can01_07232018,7/23/2018,55.11,0.3318,60.20685901,
D01W_pogr_can02_07232018,7/23/2018,50.34,0.3481,69.14978149,
D01W_pogr_can03_07232018,7/23/2018,26.91,0.1795,66.70382757,
D01W_pogr_can04_07232018,7/23/2018,43.41,0.2938,67.68025801,
D01W_pogr_can05_07232018,7/23/2018,40.64,0.3078,75.73818898,
D01W_pogr_can06_07232018,7/23/2018,36.83,0.2257,61.28156394,
D01W_pogr_can07_07232018,7/23/2018,29.88,0.2107,70.51539491,
D01W_pogr_can08_07232018,7/23/2018,37.78,0.2787,73.76919005,
D01W_pogr_can09_07232018,7/23/2018,37.98,0.2665,70.16850974,
D01W_quru_can01_07232018,7/23/2018,72.54,0.724,99.80700303,
D01W_quru_can02_07232018,7/23/2018,48.47,0.5003,103.2184857,
D01W_quru_can03_07232018,7/23/2018,72.92,0.7191,98.61492046,
D01W_quru_can04_07232018,7/23/2018,118.43,1.2698,107.2194545,
D01W_quru_can05_07232018,7/23/2018,76.38,0.6534,85.54595444,
D01W_quru_can06_07232018,7/23/2018,138.21,1.3757,99.53693655,
D01W_quru_can07_07232018,7/23/2018,148.98,1.5814,106.1484763,
D01W_quru_can08_07232018,7/23/2018,121.27,1.0769,88.80184712,
D01W_quru_can09_07232018,7/23/2018,80.07,0.6013,75.09679031,
D01E_acru_can01_07222018,7/22/2018,99.04,0.6768,68.33602585,
D01E_acru_can02_07222018,7/22/2018,88.88,0.5387,60.60981098,
D01E_acru_can03_07222018,7/22/2018,66.27,0.3686,55.62094462,
D01E_acru_can04_07222018,7/22/2018,49.6,0.4017,80.98790323,
D01E_acru_can05_07222018,7/22/2018,41.21,0.3228,78.33050231,
D01E_acru_can06_07222018,7/22/2018,70.37,0.5654,80.34673867,
D01E_acru_can07_07222018,7/22/2018,69.07,0.4873,70.5516143,
D01E_acru_can08_07222018,7/22/2018,41.06,0.2991,72.84461763,
D01E_acru_can09_07222018,7/22/2018,102.1,0.8962,87.77668952,
D01E_pogr_can01_07222018,7/22/2018,44.38,0.374,84.27219468,
D01E_pogr_can02_07222018,7/22/2018,29.84,0.2681,89.8458445,
D01E_pogr_can03_07222018,7/22/2018,53.4,0.4081,76.42322097,
D01E_pogr_can04_07222018,7/22/2018,49.79,0.3828,76.88290821,
D01E_pogr_can05_07222018,7/22/2018,50.86,0.3883,76.34683445,
D01E_pogr_can06_07222018,7/22/2018,43.94,0.2784,63.35912608,
D01E_pogr_can07_07222018,7/22/2018,42.2,0.293,69.43127962,
D01E_pogr_can08_07222018,7/22/2018,47.37,0.3673,77.53852649,
D01E_pogr_can09_07222018,7/22/2018,37.1,0.3077,82.93800539,
D01E_quru_can01_07222018,7/22/2018,74.72,0.7134,95.4764454,
D01E_quru_can02_07222018,7/22/2018,70.69,0.6191,87.57957278,
D01E_quru_can03_07222018,7/22/2018,72.38,0.5617,77.60431058,
D01E_quru_can04_07222018,7/22/2018,83.96,0.6967,82.97999047,
D01E_quru_can05_07222018,7/22/2018,87.37,0.7542,86.32253634,
D01E_quru_can06_07222018,7/22/2018,151.5,1.1417,75.35973597,
D01E_quru_can07_07222018,7/22/2018,42.62,0.3489,81.86297513,
D01E_quru_can08_07222018,7/22/2018,106.83,0.9647,90.30234953,
D01E_quru_can09_07222018,7/22/2018,84.33,0.7378,87.4896241,
D02W_acru_can01_07182018,7/18/2018,99.42,0.5384,54.15409374,
D02W_acru_can02_07182018,7/18/2018,41.81,0.2826,67.59148529,
D02W_acru_can03_07182018,7/18/2018,88.01,0.4709,53.50528349,
D02W_acru_can04_07182018,7/18/2018,83.7,0.4873,58.21983274,
D02W_acru_can05_07182018,7/18/2018,35.74,0.2313,64.71740347,
D02W_acru_can06_07182018,7/18/2018,101.72,0.5683,55.8690523,
D02W_acru_can07_07182018,7/18/2018,61.24,0.3457,56.45003266,
D02W_acru_can08_07182018,7/18/2018,55.31,0.3391,61.30898572,arbitrarily assigned as can08; 08 and 09 were in the same bag (this is the larger leaf of the two in the bag)
D02W_acru_can09_07182018,7/18/2018,NA,0.232,NA,arbitrarily assigned as can09; 08 and 09 were in the same bag (this is the smaller leaf of the two in the bag)
D02W_acru_can10_07182018,7/18/2018,78.05,0.4741,60.74311339,
D02W_acru_can11_07182018,7/18/2018,124.25,0.7902,63.59758551,
D02W_acru_can12_07182018,7/18/2018,62.21,0.4141,66.56486095,
D02W_acru_can13_07182018,7/18/2018,52.13,0.3615,69.3458661,
D02W_acru_can14_07182018,7/18/2018,52.55,0.3367,64.07231208,
D02W_acru_can15_07182018,7/18/2018,108.7,0.7852,72.23551058,
D02W_pogr_can01_07172018,7/17/2018,49.45,0.3885,78.56420627,
D02W_pogr_can02_07172018,7/17/2018,41.25,0.349,84.60606061,
D02W_pogr_can03_07172018,7/17/2018,43.16,0.3483,80.69972196,
D02W_pogr_can04_07172018,7/17/2018,39.22,0.3047,77.68995411,
D02W_pogr_can05_07172018,7/17/2018,39.77,0.349,87.75458889,
D02W_pogr_can06_07182018,7/18/2018,70.19,0.6064,86.39407323,
D02W_pogr_can07_07182018,7/18/2018,46.16,0.3866,83.75216638,
D02W_pogr_can08_07182018,7/18/2018,70.5,0.5871,83.27659574,
D02W_pogr_can09_07182018,7/18/2018,51.38,0.4616,89.84040483,
