date,final_ID,Sample,leaf_area_cm2,leaf_mass_g,LMA_gm2,initials,notes
7/29/2020,1EA1,1,55.81,0.3899,69.86,AMB,
7/29/2020,1EA1,2,78.3,0.5803,74.11,AMB,
7/29/2020,1EA1,3,32.3,0.1905,58.98,AMB,
7/29/2020,1EA2,2,40.27,0.307,76.24,AMB,
7/29/2020,1EA2,1,51.9,0.3014,58.07,AMB,
7/29/2020,1EA2,3,51.37,0.3633,70.72,AMB,
7/29/2020,1EA3,1,44.92,0.311,69.23,AMB,
7/30/2020,1EA3,2,31.27,0.2682,85.77,AMB,
7/30/2020,1EA3,3,23.22,0.1502,64.69,AMB,
7/29/2020,1EP1,2,38.82,0.3522,90.73,AMB,
7/29/2020,1EP1,3,23.12,0.2003,86.63,AMB,
7/29/2020,1EP1,1,78.24,0.7398,94.56,AMB,
7/29/2020,1EP2,1,22.44,0.1876,83.6,AMB,
7/29/2020,1EP2,2,28.14,0.2582,91.76,AMB,"new branch, old 02 was dead"
7/29/2020,1EP2,3,39.59,0.3774,95.33,AMB,
7/30/2020,1EP3,1,19.62,0.1423,72.53,AMB,
7/30/2020,1EP3,2,29.41,0.23,78.2,AMB,
7/30/2020,1EP3,3,43.07,0.3441,79.89,AMB,
7/29/2020,1EQ1,3,38.52,0.3107,80.66,AMB,
7/29/2020,1EQ1,2,45.39,0.3991,87.93,AMB,
7/29/2020,1EQ1,1,54.16,0.4226,78.03,AMB,
7/29/2020,1EQ2,3,70.24,0.4827,68.72,AMB,
7/29/2020,1EQ2,1,91.63,0.7832,85.47,AMB,"new branch, old 01 was dead"
7/29/2020,1EQ2,2,67.15,0.6083,90.59,AMB,
7/30/2020,1EQ3,1,59.23,0.3735,63.06,AMB,
7/30/2020,1EQ3,2,67.08,0.5202,77.55,AMB,
7/29/2020,1EQ3,3,72.13,0.6817,94.51,AMB,
7/30/2020,1WA1,1,29.29,0.2201,75.15,AMB,
7/30/2020,1WA1,2,35.25,0.3592,101.9,AMB,
7/30/2020,1WA1,3,35.4,0.2844,80.34,AMB,
7/30/2020,1WA2,1,24.02,0.1823,75.9,AMB,
7/30/2020,1WA2,3,27.56,0.2103,76.31,AMB,
7/30/2020,1WA2,2,21.1,0.1703,80.71,AMB,
7/30/2020,1WA3,1,45.39,0.356,78.43,AMB,
7/30/2020,1WA3,3,28.06,0.1998,71.2,AMB,
7/30/2020,1WA3,2,43.88,0.3318,75.62,AMB,
7/30/2020,1WP1,3,33.65,0.2765,82.17,AMB,
7/30/2020,1WP1,2,37.3,0.3131,83.94,AMB,
7/30/2020,1WP1,1,43.67,0.3412,78.13,AMB,"new branch, old 01 was dead"
7/30/2020,1WP2,1,44.96,0.4044,89.95,AMB,
7/30/2020,1WP2,2,59.61,0.5232,87.77,AMB,"new branch, old 02 was dead"
7/30/2020,1WP2,3,30.71,0.2195,71.48,AMB,
7/30/2020,1WP3,3,31.8,0.2439,76.7,AMB,
7/30/2020,1WP3,2,29.6,0.1908,64.46,AMB,
7/30/2020,1WP3,1,31.15,0.2497,80.16,AMB,
7/30/2020,1WQ1,3,38.66,0.4116,106.47,AMB,
7/30/2020,1WQ1,2,58.72,0.4892,83.31,AMB,
7/30/2020,1WQ1,1,55.4,0.5094,91.95,AMB,
7/30/2020,1WQ2,2,95.57,0.7447,77.92,AMB,
7/30/2020,1WQ2,3,92.17,0.84,91.14,AMB,
7/30/2020,1WQ2,1,66.78,0.4194,62.8,AMB,
7/30/2020,1WQ3,2,175.09,1.7044,97.34,AMB,
7/30/2020,1WQ3,3,146.41,1.4848,101.41,AMB,
7/30/2020,1WQ3,1,143.97,1.2448,86.46,AMB,
7/27/2020,2EA1,1,63.19,0.4003,63.35,AMB,
7/27/2020,2EA1,3,48.07,0.3384,70.4,AMB,
7/27/2020,2EA1,4,43.53,0.2246,51.6,AMB,
7/27/2020,2EA1,5,30.71,0.2329,75.84,AMB,
7/28/2020,2EA2,2,39.76,0.3451,86.8,AMB,
7/28/2020,2EA2,3,56.56,0.4917,86.93,AMB,
7/28/2020,2EA2,1,36.75,0.2557,69.58,AMB,
7/28/2020,2EA3,3,26.47,0.154,58.18,AMB,
7/28/2020,2EA3,2,45.83,0.3231,70.5,AMB,
7/26/2020,2EP1,5,46.62,0.4236,90.86,AMB,"new branch, old 05 was dead"
