date,initials,final_ID,Sample,leaf_mass_g,leaf_area_cm2,LMA_gm2,notes
7/23/2021,AIM,4EA2,1,0.2491,34.88,71.4162844,
7/23/2021,AIM,4EA2,2,0.5161,70.57,73.13305937,
7/23/2021,AIM,4EA2,3,0.5727,67.79,84.48148694,
7/23/2021,AIM,4EP1,1,0.3371,37.25,90.4966443,
7/23/2021,AIM,4EP1,2,0.3637,42.11,86.36903348,
7/23/2021,AIM,4EP1,3,0.4067,41.93,96.99499165,
7/23/2021,AIM,4EA1,1,0.6111,72.31,84.51113262,
7/23/2021,AIM,4EA1,2,0.2093,28.06,74.59016393,
7/23/2021,AIM,4EA1,3,0.4874,64.08,76.06117353,
7/23/2021,AIM,4EQ2,1,0.6578,58.86,111.7567108,
7/23/2021,AIM,4EQ2,2,0.5357,64.73,82.75915341,
7/23/2021,AIM,4EQ2,3,0.6568,65.91,99.6510393,
7/23/2021,AIM,4EA3,1,0.3023,49.79,60.71500301,
7/23/2021,AIM,4EA3,2,0.5228,67.7,77.22304284,
7/23/2021,AIM,4EA3,3,0.5932,76.76,77.27983325,
7/23/2021,AIM,4WP1,1,0.2703,37.71,71.67859984,
7/23/2021,AIM,4WP1,2,0.2373,35.2,67.41477273,
7/23/2021,AIM,4WP1,3,0.2065,30.89,66.85011331,
7/23/2021,AIM,4WP3,1,0.2187,30.25,72.29752066,
7/23/2021,AIM,4WP3,2,0.2715,39.86,68.11339689,
7/23/2021,AIM,4WP3,3,0.2096,31.17,67.24414501,
7/23/2021,AIM,4WP2,1,0.2541,30.55,83.17512275,
7/23/2021,AIM,4WP2,2,0.3034,37.65,80.58432935,
7/23/2021,AIM,4WP2,3,0.3524,39.49,89.23778172,
7/23/2021,AIM,4WA1,1,0.6932,74.6,92.92225201,
7/23/2021,AIM,4WA1,2,0.5585,68.95,81.00072516,
7/23/2021,AIM,4WA1,3,1.0721,118.4,90.54898649,
7/23/2021,AIM,4WQ2,1,0.5977,68.3,87.51098097,
7/23/2021,AIM,4WQ2,2,0.9449,102.27,92.39268603,
7/23/2021,AIM,4WQ2,3,0.9379,107.67,87.10875824,
7/23/2021,AIM,4WQ1,1,0.7484,84.68,88.37978271,
7/23/2021,AIM,4WQ1,2,0.3808,50.05,76.08391608,
7/23/2021,AIM,4WQ1,3,0.7797,69.89,111.5610245,
7/23/2021,AIM,4WA2,1,0.3181,45.18,70.40725985,
7/23/2021,AIM,4WA2,2,0.3057,42.12,72.57834758,
7/23/2021,AIM,4WA2,3,0.2457,36.35,67.59284732,
7/23/2021,AIM,4WA3,1,0.4527,57.21,79.12952281,
7/23/2021,AIM,4WA3,2,0.5006,57.37,87.25814886,
7/23/2021,AIM,4WA3,3,0.4101,52.95,77.45042493,
7/23/2021,AIM,4WQ3,1,0.9186,115.03,79.8574285,
7/23/2021,AIM,4WQ3,2,0.5545,72.48,76.50386313,
7/23/2021,AIM,4WQ3,3,0.4228,69.32,60.99249856,
7/28/2021,AIM,2WA2,1,0.4359,47.06,92.62643434,
7/28/2021,AIM,2WA2,2,0.5196,63.31,82.07234244,
7/28/2021,AIM,2WA2,3,0.3487,41.43,84.16606324,
7/28/2021,AIM,2WA3,1,0.4392,58.88,74.5923913,
7/28/2021,AIM,2WA3,2,1.1728,139.25,84.22262118,
7/28/2021,AIM,2WA3,3,0.4289,54.11,79.26446128,
7/28/2021,AIM,2WP1,1,0.4478,54.86,81.62595698,
7/28/2021,AIM,2WP1,2,0.3816,45.54,83.7944664,
7/28/2021,AIM,2WP1,3,0.3546,45.74,77.52514211,
7/28/2021,AIM,2EQ1,1,0.7726,93.09,82.99495112,
7/28/2021,AIM,2EQ1,2,0.5084,94.75,53.65699208,
7/28/2021,AIM,2EQ1,3,0.6263,80.47,77.8302473,
7/28/2021,AIM,2WQ2,1,0.6328,67.87,93.23707087,
7/28/2021,AIM,2WQ2,2,0.6364,50.61,125.7459,
7/28/2021,AIM,2WQ2,3,0.5957,56.06,106.2611488,
7/28/2021,AIM,2EA1,1,0.6116,84.32,72.53320683,
7/28/2021,AIM,2EA1,3,0.4327,69.12,62.60127315,
7/28/2021,AIM,2EA1,4,0.2824,50.36,56.07625099,
7/28/2021,AIM,2EQ2,1,1.4067,152.84,92.03742476,
7/28/2021,AIM,2EQ2,2,0.8384,108.34,77.38600701,
7/28/2021,AIM,2EQ2,3,1.0426,121.68,85.68376068,
7/28/2021,AIM,2EP1,2,0.4181,51.79,80.72987063,
7/28/2021,AIM,2EP1,4,0.3346,44.99,74.37208269,
7/28/2021,AIM,2EP1,5,0.3838,44.46,86.32478632,
7/28/2021,AIM,2EQ3,1,0.5272,78.58,67.09086281,
7/28/2021,AIM,2EQ3,2,0.4818,70.49,68.35012058,
7/28/2021,AIM,2EQ3,3,0.3872,59.11,65.5049907,
7/28/2021,AIM,2EA2,1,0.4445,62.58,71.02908277,
7/28/2021,AIM,2EA2,2,0.3765,44.82,84.00267738,
7/28/2021,AIM,2EA2,3,0.5386,63.01,85.47849548,
7/28/2021,AIM,2EA3,1,0.3503,55.99,62.5647437,
7/28/2021,AIM,2EA3,2,0.6546,90.71,72.16403925,
7/28/2021,AIM,2EA3,3,0.4261,70.75,60.22614841,
7/28/2021,AIM,4EQ1,1,0.7293,89.96,81.06936416,
7/28/2021,AIM,4EQ1,2,0.5886,75.23,78.2400638,
7/28/2021,AIM,4EQ1,3,0.7465,80.38,92.87136104,
7/28/2021,AIM,2EP2,1,0.4149,53.41,77.68208201,
7/28/2021,AIM,2EP2,2,0.3142,40.33,77.90726506,
7/28/2021,AIM,2EP2,3,0.3316,43.87,75.58696148,
7/28/2021,AIM,2EP3,1,0.2638,35.66,73.9764442,
7/28/2021,AIM,2EP3,2,0.3501,40.31,86.85189779,
7/28/2021,AIM,2EP3,3,0.3321,46.59,71.28139086,
7/28/2021,AIM,4EP2,1,0.3327,36.3,91.65289256,
7/28/2021,AIM,4EP2,2,0.3473,36.73,94.55485979,
7/28/2021,AIM,4EP2,3,0.3495,50.06,69.81622054,
7/28/2021,AIM,4EP3,1,0.3236,39.27,82.40387064,
7/28/2021,AIM,4EP3,2,0.2299,29.07,79.08496732,
7/28/2021,AIM,4EP3,3,0.3527,43.11,81.81396428,
7/29/2021,AIM,2WP2,1,0.5195,54.68,95.00731529,
7/29/2021,AIM,2WP2,2,0.3669,38.24,95.94665272,
7/29/2021,AIM,2WP2,3,0.3622,38.99,92.89561426,
7/29/2021,AIM,2WQ3,1,0.9085,101.23,89.74612269,
7/29/2021,AIM,2WQ3,2,0.5202,71.34,72.91841884,
7/29/2021,AIM,2WQ3,3,1.0258,106.84,96.01272931,
7/29/2021,AIM,2WA1,1,0.3747,57.41,65.26737502,
7/29/2021,AIM,2WA1,2,0.4742,69.43,68.29900619,
7/29/2021,AIM,2WA1,3,0.3975,55.75,71.30044843,
7/29/2021,AIM,2WQ1,1,0.5489,64.34,85.31240286,
7/29/2021,AIM,2WQ1,2,0.4649,51.59,90.11436325,
7/29/2021,AIM,2WQ1,3,0.2688,26.21,102.5562762,
8/2/2021,AIM,1WP3,1,0.2251,28.71,78.40473703,
8/2/2021,AIM,1WP3,2,0.2491,36.94,67.43367623,
8/2/2021,AIM,1WP3,3,0.1678,30.71,54.64018235,
8/2/2021,AIM,1WP1,1,0.2546,41.41,61.48273364,
8/2/2021,AIM,1WP1,2,0.2404,34.19,70.312957,
8/2/2021,AIM,1WP1,3,0.3094,45.49,68.01494834,
8/2/2021,AIM,1WP2,1,0.2096,33.37,62.810908,
8/2/2021,AIM,1WP2,2,0.2148,30.88,69.55958549,
8/2/2021,AIM ,1WP2,3,0.1936,32.66,59.27740355,
8/4/2021,AIM,1WA2,1,0.2446,30.86,79.26117952,
8/4/2021,AIM,1WA2,2,0.2054,29.33,70.03068531,
8/4/2021,AIM,1WA2,3,0.3367,33.75,99.76296296,
8/4/2021,AIM,1WA3,1,0.4182,49.14,85.1037851,
8/4/2021,AIM,1WA3,2,0.4703,63.57,73.98143779,
8/4/2021,AIM,1WA3,3,0.5432,33.71,161.1391279,
8/4/2021,AIM,1EA3,1,0.6166,81.41,75.74008107,
8/4/2021,AIM,1EA3,2,0.4331,49.59,87.33615648,
8/4/2021,AIM,1EA3,3,0.5703,67.91,83.97879546,
8/4/2021,AIM,1WA1,1,0.1643,25.09,65.48425668,
8/4/2021,AIM,1WA1,2,0.3791,47.99,78.99562409,
8/4/2021,AIM,1WA1,3,0.2328,33.31,69.88892225,
8/4/2021,AIM,1EP3,1,0.2451,37.15,65.97577389,
8/4/2021,AIM,1EP3,2,0.2125,35.18,60.40363843,
8/4/2021,AIM,1EP3,3,0.3094,40.45,76.4894932,
8/4/2021,AIM,1EQ3,1,0.5395,72.72,74.18866887,
8/4/2021,AIM,1EQ3,2,0.5631,69.87,80.59252898,
8/4/2021,AIM,1EQ3,3,0.3982,34.32,116.025641,
8/4/2021,AIM,1WQ2,1,1.0276,137.15,74.92526431,
8/4/2021,AIM,1WQ2,2,0.5271,86.59,60.87308003,
8/4/2021,AIM,1WQ2,3,0.8477,82.44,102.8262979,
8/4/2021,AIM,1EP2,1,0.2527,34.55,73.14037627,
8/4/2021,AIM,1EP2,2,0.3554,44.39,80.06307727,
8/4/2021,AIM,1EP2,3,0.2359,29.47,80.04750594,
8/4/2021,AIM,1EA1,1,0.3457,53.27,64.89581378,
8/4/2021,AIM,1EA1,2,0.4932,61.53,80.15602145,
8/4/2021,AIM,1EA1,3,0.5062,92.73,54.58859053,
8/4/2021,AIM,1EP1,1,0.4614,49.61,93.00544245,
8/4/2021,AIM,1EP1,2,0.3418,41.57,82.2227568,
8/4/2021,AIM,1EP1,3,0.4483,44.73,100.2235636,
8/4/2021,AIM,1EA2,1,0.5087,73.72,69.00434075,
8/4/2021,AIM,1EA2,2,0.3435,50.32,68.26311606,
8/4/2021,AIM,1EA2,3,0.4648,66.95,69.42494399,
8/4/2021,AIM,1EQ2,1,0.7537,104.71,71.97975361,
8/4/2021,AIM,1EQ2,2,1.1262,120.03,93.82654336,
8/4/2021,AIM,1EQ2,3,1.0547,132.72,79.46805304,
8/4/2021,AIM,1EQ1,1,0.6581,81.12,81.12672584,
8/4/2021,AIM,1EQ1,2,0.4325,44.18,97.8949751,
8/4/2021,AIM,1EQ1,3,0.4483,60.01,74.70421596,
8/4/2021,AIM,1WQ1,1,0.4947,65.99,74.96590392,
8/4/2021,AIM,1WQ1,2,0.4406,58.93,74.76667232,
8/4/2021,AIM,1WQ1,3,0.5174,72.59,71.2770354,
8/4/2021,AIM,1WQ3,1,0.9473,96.95,97.71015988,
8/4/2021,AIM,1WQ3,2,1.1732,138.61,84.64035784,
8/4/2021,AIM,1WQ3,3,1.3093,155.98,83.94024875,
8/5/2021,AIM,3EA1,1,0.7008,80.19,87.39244295,
8/5/2021,AIM,3EA1,2,0.7622,95.24,80.02939941,
8/5/2021,AIM,3EA1,3,0.7572,81.88,92.47679531,
8/5/2021,AIM,3EP1,1,0.4061,44.76,90.72832887,
8/5/2021,AIM,3EP1,2,0.2951,35.84,82.33816964,
8/5/2021,AIM,3EP1,3,0.7482,78.98,94.73284376,
8/5/2021,AIM,3EP2,1,0.4843,50.92,95.10997643,
8/5/2021,AIM,3EP2,2,0.4417,58.51,75.491369,
8/5/2021,AIM,3EP2,3,0.4161,49.13,84.69366986,
8/5/2021,AIM,3EP3,1,0.3873,41.81,92.63334131,
8/5/2021,AIM,3EP3,2,0.5687,58.18,97.74836714,
8/5/2021,AIM,3EP3,3,0.3979,49.13,80.98921229,
8/5/2021,AIM,3EQ2,1,0.4757,51.41,92.53063606,
8/5/2021,AIM,3EQ2,2,0.7771,71.51,108.6701161,
8/5/2021,AIM,3EQ2,3,0.5955,54.69,108.8864509,
8/5/2021,AIM,3EA3,1,0.5072,56.74,89.39020092,
8/5/2021,AIM,3EA3,2,0.5043,58.37,86.39712181,
8/5/2021,AIM,3EA3,3,0.6482,71.47,90.69539667,
8/5/2021,AIM,3EQ3,1,0.5638,72.22,78.06701745,
8/5/2021,AIM,3EQ3,2,0.9459,117.82,80.28348328,
8/5/2021,AIM,3EQ3,3,0.5672,75.14,75.48575991,
8/5/2021,AIM,3WQ1,1,0.5178,63.64,81.36392206,
8/5/2021,AIM,3WQ1,2,0.5651,71.15,79.42375264,
8/5/2021,AIM,3WQ1,3,0.5753,61.25,93.92653061,
8/5/2021,AIM,3WQ2,1,1.0033,97.31,103.1034837,
8/5/2021,AIM,3WQ2,2,0.5818,58.85,98.86151232,
8/5/2021,AIM,3WQ2,3,0.6705,61.51,109.0066656,
8/5/2021,AIM,3WA1,1,0.4581,37.99,120.5843643,
8/5/2021,AIM,3WA1,2,0.2515,35.05,71.75463623,
8/5/2021,AIM,3WA1,3,0.3956,52.98,74.66968667,
